a_DT_date,a_DT_time,a_rank,b_name,c_symbol,d_price,e_P24h,f_P7d,g_marketCap,h_volumnCOIN,h_volumnUSD,i_circulatingSupply,k_imageChart
12/11/2021,12:08:32,401,Oxygen,OXY,$2.21,-0.25,-5.83,"$139,314,337","312,534 OXY","$690,892","63,020,682 OXY",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8029.svg
12/11/2021,12:08:32,402,KeeperDAO,ROOK,$225.02,+5.19,-9.07,"$138,981,412","11,224 ROOK","$2,525,622","617,636 ROOK",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7678.svg
12/11/2021,12:08:32,403,Liquity,LQTY,$11.17,+5.24,+0.14,"$138,702,245","133,333 LQTY","$1,488,801","12,421,766 LQTY",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7429.svg
12/11/2021,12:08:32,404,QuickSwap,QUICK,$419.50,+4.79,-2.53,"$137,219,533","75,094 QUICK","$31,501,978","327,100 QUICK",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8206.svg
12/11/2021,12:08:32,405,Hxro,HXRO,$0.4614,+2.21,+1.08,"$137,206,176","408,459 HXRO","$188,475","297,350,481 HXRO",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3748.svg
12/11/2021,12:08:32,406,Gitcoin,GTC,$9.65,+5.88,+5.96,"$136,996,441","1,594,545 GTC","$15,385,537","14,198,202 GTC",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/10052.svg
12/11/2021,12:08:32,407,MetisDAO,METIS,$108.36,+1.94,+6.80,"$136,580,274","106,232 METIS","$11,511,544","1,260,400 METIS",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9640.svg
12/11/2021,12:08:32,408,Newscrypto,NWC,$0.9042,+0.67,-1.43,"$135,993,436","11,635,303 NWC","$10,520,719","150,400,834 NWC",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4890.svg
12/11/2021,12:08:32,409,SSV Network,SSV,$13.54,+0.66,+6.39,"$135,447,564","518,601 SSV","$7,024,328","10,000,000 SSV",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/12999.svg
12/11/2021,12:08:32,410,ankrETH,aEth,"$4,607.74",+3.40,+3.21,"$135,145,027",25 AETH,"$113,011","29,330 aEth",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8100.svg
12/11/2021,12:08:32,101,Bitcoin Gold,BTG,$66.88,-0.51,+3.02,"$1,171,299,401","549,631 BTG","$36,758,306","17,513,924 BTG",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2083.svg
12/11/2021,12:08:32,102,UMA,UMA,$18.29,+1.45,+3.64,"$1,165,510,334","22,563,705 UMA","$412,686,926","63,724,410 UMA",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5617.svg
12/11/2021,12:08:32,103,Synthetix,SNX,$10.07,+2.90,-5.65,"$1,156,328,364","9,634,308 SNX","$97,006,917","114,841,533 SNX",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2586.svg
12/11/2021,12:08:32,104,Perpetual Protocol,PERP,$16.62,-2.24,-3.34,"$1,142,064,661","1,544,402 PERP","$25,674,054","68,700,000 PERP",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6950.svg
12/11/2021,12:08:32,105,Telcoin,TEL,$0.0207,+0.94,-5.64,"$1,139,043,648","965,403,460 TEL","$19,983,544","55,027,110,195 TEL",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2394.svg
12/11/2021,12:08:32,106,Bancor,BNT,$4.70,+1.86,+7.62,"$1,113,772,235","20,346,675 BNT","$95,675,322","236,859,004 BNT",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1727.svg
