a_DT_date,a_DT_time,a_rank,b_name,c_symbol,d_price,e_P24h,f_P7d,g_marketCap,h_volumnCOIN,h_volumnUSD,i_circulatingSupply,k_imageChart
12/11/2021,12:22:09,1,Bitcoin,BTC,"$64,936.77",+0.22,+4.62,"$1,225,406,012,736","549,899 BTC","$35,708,687,842","18,870,756 BTC",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1.svg
12/11/2021,12:22:09,101,0x,ZRX,$1.37,+1.10,+5.06,"$1,161,587,270","165,257,445 ZRX","$227,039,432","845,496,055 ZRX",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1896.svg
12/11/2021,12:22:09,201,HEX,HEX,$0.2374,+7.51,+0.05,"$41,173,377,240","231,623,599 HEX","$54,994,907","173,411,074,413 HEX",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5015.svg
12/11/2021,12:22:09,2,Ethereum,ETH,"$4,769.15",+2.52,+5.29,"$564,223,816,489","3,781,318 ETH","$18,033,667,338","118,307,045 ETH",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1027.svg
12/11/2021,12:22:09,3,Binance Coin,BNB,$632.67,+1.91,+7.96,"$105,530,583,829","3,415,168 BNB","$2,160,684,650","166,801,148 BNB",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1839.svg
12/11/2021,12:22:09,4,Tether,USDT,$1.00,+0.01,-0.02,"$73,913,793,338","82,928,284,811 USDT","$82,988,810,763","73,859,886,039 USDT",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/825.svg
12/11/2021,12:22:09,5,Solana,SOL,$233.12,-3.39,-3.32,"$70,623,974,755","10,898,146 SOL","$2,540,581,500","302,950,471 SOL",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5426.svg
12/11/2021,12:22:09,6,Cardano,ADA,$2.08,-1.01,+3.62,"$69,353,166,704","1,597,184,626 ADA","$3,326,534,165","33,298,864,865 ADA",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2010.svg
12/11/2021,12:22:09,102,Synthetix,SNX,$10.04,+2.03,-5.64,"$1,152,561,316","9,597,609 SNX","$96,322,577","114,841,533 SNX",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2586.svg
12/11/2021,12:22:09,103,Perpetual Protocol,PERP,$16.64,-2.13,-3.45,"$1,143,213,206","1,527,354 PERP","$25,416,177","68,700,000 PERP",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6950.svg
12/11/2021,12:22:09,104,Telcoin,TEL,$0.0206,-0.15,-5.40,"$1,133,530,909","961,561,614 TEL","$19,807,688","55,027,110,195 TEL",https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2394.svg
